"","diffmedian24","std_temp_janv","std_temp_juil","std_pluie_janv","std_pluie_juil","var_sth1970_2010","var_sth1979_2010","var_sth1988_2010","var_c1970_2010","var_c1979_2010","var_c1988_2010","var_sfp1970_2010","var_sfp1979_2010","var_sfp1988_2010","var_mf1970_2010","var_mf1979_2010","var_mf1988_2010","var_prairie1970_2010","var_prairie1979_2010","var_prairie1988_2010","var_ugb1988_2010","id_geofla","residues"
"3581",-3.72,2.13,1.44,28.77,32.7,-11.3814682235735,-10.5440163384089,-12.2318430831362,-4.6399609557505,-7.2430158411467,-1.9387665185079,13.6634205055258,7.9369808341771,2.6516237723134,3.97153660311555,2.1613777688544,0.25018221138911,10.4348188558714,4.6133336787542,0.0541257437809,0.094872848792388,544,-1.40859642732608
"3585",0.15,2.26,1.6,34.4,36.36,-15.0059352895358,-14.1484042952832,-15.8611569884609,3.7229271276743,1.1498981434721,13.2524489012915,-8.9752930998307,-6.4438519456879,-13.1772321120799,5.45054428377486,4.67040354586254,1.25659185078388,-12.8776801017862,-11.059855926747,-14.2766586535339,0.21654693478357,2775,0.995902450998912
"3586",-3.76,2.22727272727273,1.51818181818182,62.1272727272727,46.3909090909091,-23.8227403726544,-16.4368542955536,-11.0629625667223,0.6075435214805,-5.7384458903484,-5.3702515866254,1.1404917646593,7.2389144546369,7.9156939312775,6.73983682334473,3.76579785450889,2.40573302536945,-2.3271084828083,3.4838326273123,5.7109278781186,0.32759273929436,2046,-0.141191890092875
"3587",-3.21,2.27368421052632,1.36315789473684,43.2947368421053,36.0736842105263,-21.5920580006542,-19.5584681391414,-13.5224370692941,10.0525080471785,8.810565689828,5.0770934774911,-15.0933058483824,-14.7713014314382,-9.5250977858463,10.2173016589058,6.32309862271365,2.12274042542937,-18.0654379862207,-17.2139763916358,-11.7084643077495,0.14456189890607,367,-2.47660790987676
"3589",-0.14,2.1,1.4,50.7,31.5,-26.7421181789231,-19.6757818965846,-15.1357616143962,7.981092483893,9.11110114413832,8.0175424921533,1.3420625881053,-5.3697422514084,-8.7009163755129,6.5496261120906,-2.79226589425938,-5.82402304839258,-2.8570732621386,0.9452590277927,0.1830393039958,-0.301105903544,283,-0.530422307964783
"3591",-2.43,2.37826086956522,1.43913043478261,35.3260869565217,30.6608695652174,-9.73656674634982,-4.984961846188,-1.7700136440189,1.5224352354478,-3.0386205211371,-1.2617232561226,-18.653717298823,-10.5723375705842,-5.95194268728121,0.87823071462434,-0.98319623169225,-1.60204757108506,-9.56180892720887,-8.54213282264307,-2.54933746647174,0.034629959647529,1093,-1.49543054211857
"3592",0.22,2.31875,1.39375,39.24375,34.0875,-11.8858689533941,-9.2842003074399,-8.4796001896509,0.037524789315,2.2667219891616,3.8221391141975,-5.1911324015424,-8.7816710851138,-11.035242588324,13.0049986683938,6.61707911136656,0.3302841995107,-7.6188817446621,-9.4937163727228,-6.905890978819,0.28307215536206,1922,0.378983832207644
"3593",-0.98,2.4,1.49705882352941,33.3147058823529,31.0058823529412,-7.28911996121159,-3.33855920380117,-1.32806185178921,-0.1172248254734,-3.739411605555,-3.658196852937,-14.6714991961361,-8.19757672624281,-2.04454525430294,0.19050114986201,-0.59648395341622,0.20449097156968,-6.89488936865771,-7.03782803086101,-2.32907953073516,-0.191730858219731,2297,-0.208098974363019
"3594",-0.17,2.39047619047619,1.5047619047619,33.6142857142857,30.6428571428571,-9.01872611981625,-3.78874013259192,-1.83311806990792,4.482507059951,3.8866904791297,0.2226017793104,-11.9096800721772,-4.97703178054911,-2.17609480235584,0.30794675887605,0.139906586049767,0.010913127573353,-8.74752860265391,-4.54739001205997,-2.20999858422794,0.092401166090093,2717,0.784691053703747
"3595",-0.85,2.29166666666667,1.2,36.3166666666667,33.725,-8.2913398255923,-4.8746534792183,-2.4951086127943,1.1593051435145,-0.4133988517543,-1.2840478650536,-5.2074959723714,-3.2609059303874,-1.9537098004519,9.58612778541944,4.04895347733318,1.2653662816165,-6.1981588734808,-4.5214182537043,-3.4749607990248,0.18026884877669,3022,-0.307402995006749
"3597",-1.32,1.93333333333333,1.51111111111111,47.7333333333333,31.1666666666667,-9.468974635156,-15.482944854939,-10.5137038097981,-1.0966573590449,-2.6751118757879,0.0105106090298,6.8655547747727,0.1195619382628,3.104956346513,0.971696372273768,-0.50219906248246,-0.14950341362872,14.1509977758406,4.3411622208925,3.4450779270487,-0.05216320866181,1923,-0.863482121618213
"3601",0.16,2.08888888888889,1.42222222222222,46.1444444444444,25.9333333333333,-10.849935570097,-12.5408949359996,-5.1131886620903,4.073644589454,6.0627108208923,10.2546740566341,-14.7099065976593,-21.4705263989277,-11.7488229471631,3.73687935822998,-0.59940849663087,-2.24603473306258,-8.6248207843188,-20.3285937179803,-8.9672102626512,0.064870723607154,152,0.806738621933773
"3602",1.24,2.1,1.42,45.72,25.75,-9.51537349034071,-10.1036934934635,-2.33633018462081,3.4162884260289,-0.0346725433487,7.8328544638879,-23.888095676088,-24.0258785574736,-11.9936212304853,1.51830679555455,-1.04364817998988,-2.58481821193881,-17.6924832418295,-20.8553845054358,-8.5950178062968,0.252256278394556,492,1.91161051096346
"3603",0.81,2.1,1.4,39.42,27.05,-30.8041847486061,-25.1132371885022,-19.3358339172907,19.1874281361598,16.8628856845994,16.3893849284709,-30.174358566594,-32.0307035800303,-22.0540883839685,2.34496369801601,-0.50420994223485,-1.67995913599039,-30.2345392947793,-30.2221101853091,-19.1685646130936,0.186821902636348,1183,1.3355477630753
"3604",1.82,2.1,1.4625,39.225,27.5875,-32.2906031888721,-20.6828090632223,-24.6947610711709,9.3658058536181,10.0932938051648,9.7225926717802,-12.8296922920391,-16.9882585609101,-13.7455100622711,1.71906887862062,-0.34745947885804,-1.4791204532699,-13.4555247656456,-16.3119712648015,-11.0340453537163,0.124343118504598,1442,1.18470891842776
"3606",0.53,2.11,1.44,40.77,26.79,-12.2921969543239,-11.783590507757,-10.3372712404779,15.1326535712573,13.6470141770883,10.8430246883162,-29.2405173494344,-33.0168439963234,-18.0994306057763,3.85864269132017,-0.93132885831267,-2.57490267579953,-23.330737921117,-30.4742639890817,-14.7810728488028,0.057401161433348,2372,1.19583353540469
